ESTADO,POBTOTAL,HOMBRES,MUJERES
Aguascalientes,1 341 432, 652 185, 689 247
Baja California,3 643 927,1 837 422,1 806 505
Baja California Sur, 837 683, 428 694, 408 989
Campeche, 951 435, 468 920, 482 515
Coahuila de Zaragoza,3 070 838,1 517 023,1 553 815
Colima, 762 087, 371 565, 390 522
Chiapas,5 458 436,2 662 224,2 796 212
Chihuahua,3 824 037,1 922 807,1 901 230
Ciudad de México,8 783 086,4 208 506,4 574 580
Durango,1 819 410, 891 644, 927 766
Guanajuato,5 960 991,2 895 706,3 065 285
Guerrero,3 628 820,1 752 292,1 876 528
Hidalgo,2 987 701,1 428 784,1 558 917
Jalisco,8 215 666,4 058 090,4 157 576
México,17 655 173,8 725 824,8 929 349
Michoacán de Ocampo,4 693 438,2 253 202,2 440 236
Morelos,1 992 564, 969 183,1 023 381
Nayarit,1 295 355, 636 711, 658 644
Nuevo León,5 315 661,2 652 155,2 663 506
Oaxaca,4 089 100,1 958 085,2 131 015
Puebla,6 383 845,3 045 066,3 338 779
Querétaro,2 097 890,1 020 737,1 077 153
Quintana Roo,1 718 889, 875 432, 843 457
San Luis Potosí,2 829 808,1 370 549,1 459 259
Sinaloa,3 064 214,1 512 418,1 551 796
Sonora,3 058 534,1 525 783,1 532 751
Tabasco,2 459 318,1 177 828,1 281 490
Tamaulipas,3 669 402,1 826 970,1 842 432
Tlaxcala,1 333 938, 643 258, 690 680
Veracruz de Ignacio de la Llave,8 232 030,3 965 456,4 266 574
Yucatán,2 205 240,1 080 216,1 125 024
Zacatecas,1 614 618, 792 998, 821 620